title,company,salary_from,salary_to,salary_currency,skills,experience,has_higher_education,requirements,responsibilities
DevOps-инженер,Цифров,,,,"Kubernetes, DevOps, Grafana, Prometheus, RabbitMQ, Kafka, PostgreSQL, Docker, Linux, Terraform, Ubuntu, CentOS, Ansible, Debian",От 3 до 6 лет,False,,
LLMOps engineer,CoIT,,400000,RUR,"Kubernetes, Azure, CI/CD, AWS, GCP (Good Clinical Practice)",От 3 до 6 лет,True,,
Data Engineer (Big Data),Платформа ОФД,,,,"Python, Java, Scala, SQL, Big Data, Hadoop",От 1 года до 3 лет,False,,
Бизнес-аналитик (ООО Салют для бизнеса),Салют для Бизнеса,,,,"Бизнес-анализ, Управление ожиданиями, LLM, ML, data science, AI",От 1 года до 3 лет,False,,
Senior ML Engineer/ML Team Lead (CV),ДВ СМАРТ,200000,350000,RUR,"Python, Управление командой, PyTorch, Алгоритмы и структуры данных, OpenCV, Deep Learning, GitLab CI",От 3 до 6 лет,True,,
"Научный сотрудник (Цифровая обработка сигналов, DSP)",The Skolkovo Institute of Science and Technology,,,,,От 3 до 6 лет,True,,
Prompt-инженер (Специалист по работе с ИИ),Фонд капитального ремонта общего имущества многоквартирных домов,150000,,RUR,"Информационные технологии, ИТ-инфраструктура, Работа с большим объемом информации, Ответственность, Работа в команде, LLM, Python, PROMT",От 1 года до 3 лет,False,,
Middle+ / Senior Data-аналитик,Линсофтверпродакшн,200000,300000,RUR,"Big Data, pandas, Математическая статистика, SQL, Git, ETL, Hadoop, Java, Python, Groovy, Atlassian Jira, Atlassian Confluence",Более 6 лет,True,,
Начальник отдела систем компьютерного зрения (Computer Vision Engineer),НПО ПКРВ-Иннополис,300000,,RUR,,От 3 до 6 лет,False,,
Биоинформатик / Data-Engineer,Онкодиагностика Атлас,,,,"знаниt методологии NGS, Знание молекулярной биологии, Linux, Git, Python, MySQL",От 1 года до 3 лет,False,,
ML-инженер,ДАЛКОС,250000,,RUR,,От 1 года до 3 лет,False,,
ML-инженер,Sigma Academy (АНО ДПО МУЦ ИТ),,,,,Более 6 лет,True,,
ML Ops Engineer (рекомендательные системы),Flowwow,,,,"Kubernetes, Yandex Cloud, MLflow, Apache Airflow, Helm",Более 6 лет,False,,
Data Engineer,Онлайн-школа Тетрика,,,,"Data, ETL, PostgreSQL, Airflow, Python, SQL, ETL/ELT",От 1 года до 3 лет,False,,
Аналитик данных,Юрент,,,,"SQL, Маркетинговые метрики, Python",От 3 до 6 лет,False,,
Data engineer/ ETL (Spark) разработчик (Трайб Data Office),АО «ОТП Банк» (JSC «OTP Bank»),,,,,От 3 до 6 лет,False,,
Специалист машинного обучения (Middle ML engineer),Совкомбанк Технологии,,,,,От 3 до 6 лет,False,,
Эксперт ИБ MLSecOps (Безопасность моделей машинного обучения),АО «ОТП Банк» (JSC «OTP Bank»),,,,,От 3 до 6 лет,False,,
Middle DevOps Engineer (AI & Football Analytics),СБЕР,,,,,От 3 до 6 лет,False,,
ML Ops,Кибертех-Сигнал,,,,"C++, FastAPI, Flask",От 3 до 6 лет,False,,
Тимлид продуктовой аналитики (Travelpayouts),Aviasales.ru,,,,"SQL, Python",Более 6 лет,False,,
CV Engineer (Видеоаналитика),ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ,,,,"Computer Vision, Python, ONNX, PyTorch, TensorFlow, TorchScript, TensorRT, OpenCV, FFmpeg, inference, batching, quantization",От 3 до 6 лет,False,,
Senior ML Engineer/ML Team Lead,ПРОКАТТ,,,,,Более 6 лет,False,,
Deep Learning Engineer в команду AI Core (VLM модели),Navio (ООО Автотех),,,,,Более 6 лет,False,,
Product Owner (проект Паспорт Здоровья),Группа компаний МЕДСИ,,,,,От 3 до 6 лет,False,,
ML-инженер,Marfatech,,,,"Python, SQL",От 1 года до 3 лет,False,,
Data Scientist / DL Engineer,АЙ-ЭКСП,150000,,RUR,,От 3 до 6 лет,False,,
Инженер по внедрению ИИ (AI Engineer / LLM Developer),Алфарма,,,,,От 1 года до 3 лет,False,,
Team Lead,"МАГНИТ, Розничная сеть",,,,,Более 6 лет,False,,
DevOps Engineer (Big Data / Data Engineering),TEAMSCORE,,,,"DevOps, CI/CD, Ansible, Puppet, Apache Kafka, Prometheus, Grafana, Bash, Python, PostgreSQL",От 1 года до 3 лет,False,,
Стажер Data scientist,Банк ПСБ,,,,,Нет опыта,False,,
Senior Data Analyst (Medtech),evrone.ru,,350000,RUR,"SQL, Python, Английский язык, Визуализация данных, Tableau, Power BI",От 3 до 6 лет,True,,
Senior Product Manager (Портал «Рамблер»),Rambler&Co,,,,,От 3 до 6 лет,False,,
Product Analyst,Aviasales.ru,,,,,От 3 до 6 лет,False,,
Data Scientist/ML-инженер (OCR),Ингосстрах,,,,,От 1 года до 3 лет,False,,
DevOps lead/Старший системный инженер,BI.ZONE,,,,"Linux, Docker, Kubernetes, Ansible",От 3 до 6 лет,False,,
Team lead DevOps/Руководитель группы DevOps,BI.ZONE,,,,"Ansible, Kubernetes, Terraform, CI/CD",От 3 до 6 лет,False,,
Senior ML Engineer,High Sky,4000,8000,USD,"Computer Science, NLP, CV, Computer Vision, Deep Learning",Более 6 лет,True,,
Senior ML Engineer (ASR/TTS),Oh! My Gadget!,150000,200000,RUR,"Python, TTS, ASR",От 3 до 6 лет,False,,
ML-инженер (Computer Vision),Октопустех,,,,"Python, PyTorch, OpenCV, Object Detection, YOLO, Computer Vision, Detectron2, COCO, CVAT, ONNX, TensorRT, Docker, FastAPI, Git, Numpy, pandas, Albumentations, Model Optimization, Real-time Inference, MLflow, Weights & Biases, SQL, CUDA, Face Recognition, Video Processing",От 3 до 6 лет,True,,
Senior,It Sokol,150000,220000,RUR,"Информационные технологии, Управление командой, IIot",От 1 года до 3 лет,False,,
Руководитель группы продуктовых сценариев,VK,,,,,От 3 до 6 лет,False,,
Руководитель группы качества ранжирования клипов,VK,,,,,От 3 до 6 лет,False,,
Middle ML Engineer,Voximplant,,,,,От 1 года до 3 лет,False,,
ML Engineer,IT Solutions Management International Pte. Ltd.,117000,117000,RUR,"ML, Deep Learning, Python, Docker, ООП, Git, LLM, RAG, MySQL, Langchain",От 1 года до 3 лет,False,,
Инженер по Threat Hunting и AI Security,Т-Банк,,,,,От 3 до 6 лет,False,,
Senior MLOps в команду MlOps платформы,HeadHunter,,,,"Python, MlOps, CI/CD, ML, DS, LLM",Более 6 лет,False,,
"Product Lead (OfferWalls, AI)",Flocktory,,,,,Более 6 лет,False,,
MLOps - инженер,Инфосистемы Джет,,,,"Python, Jupyter Hub/Lab, Apache Airflow, GitLab CI, Grafana, Docker, Kubernetes, OpenShift, Prometheus, Ceph, MLflow, DVC, Nvidia GPU Operator",От 3 до 6 лет,False,,
Data Engineer [Middle],Диплей,,,,"ETL, Clickhouse, Python",От 1 года до 3 лет,True,,
ML-engineer,Платформа Трим,,,,,От 3 до 6 лет,False,,
Менеджер MLOps Engineering (ML-конвейра),Инфосистемы Джет,,,,"Gitlab, Kubernetes, Jupyter Lab, Python, MS Office, Atlassian Jira, Atlassian Confluence",От 3 до 6 лет,False,,
ML-инженер,Альфа-Банк,,160000,RUR,"Машинное обучение, Python, Scikit-learn, Numpy, Алгоритмы ML, Компьютерное зрение, Генерация изображений, Full-Stack разработка, MS SQL, Git",От 1 года до 3 лет,False,,
Ведущий ML-программист (Ценообразование и Прогноз Спроса),Техвилл (ООО Автомакон),,470000,RUR,"Python, PyTorch, TensorFlow, Keras, XGBoost, LightGBM, CatBoost, pandas, SQL",От 3 до 6 лет,False,,
ML инженер (LLM),1С,,,,,Более 6 лет,False,,
Backend-разработчик Python (AI / RAG-системы),B2B-Center,,,,,От 1 года до 3 лет,False,,
LLM Engineer,МФТИ,250000,400000,RUR,,От 1 года до 3 лет,True,,
"AI/ML Engineer (RAG, Multi-Agent Systems, Orchestration)",Филиал The Visa Services в г. Москва,2500,5000,USD,"Английский язык, Python",От 3 до 6 лет,False,,
Data Engineer (в Тбилиси),TradingView,,,,"Docker, SQL, ETL",От 3 до 6 лет,False,,
"Инженер-архитектор IT оборудования (серверное оборудование, СХД)",Атлас,,,,"Системная интеграция, ИТ-архитектура, Серверное оборудование, СХД",От 3 до 6 лет,False,,
Mid+/Senior Petroleum Data Scientist /AI/ML & LLM в геологии и разработке нефтегазовых месторождений,Aramco Innovations,,,,"Python, PyTorch, TensorFlow, Hugging Face, Scikit-learn, ML, Git, Linux",Более 6 лет,False,,
Руководитель разработки O2,Positive Technologies,,,,,Более 6 лет,False,,
Golang + React(TS) + Postgres Fullstack разработчик (SaaS platform/constructor),IT Vectura,,,,"Golang, Python, Docker, Git, Разработка ПО, React, Проектирование высоконагруженных систем, Аналитическое мышление",От 3 до 6 лет,False,,
Аналитик (ML Engineer),Kaiten,,,,,От 3 до 6 лет,False,,
"Data Engineer (МТС Веб Сервисы, КИОН)",МТС,,,,,От 3 до 6 лет,False,,
Frontend-разработчик,Системная Интеграция,,,,,От 3 до 6 лет,False,,
Разработчик ML/RL,Техвилл (ООО Автомакон),,500000,RUR,"Python, MLflow",От 3 до 6 лет,False,,
Machine Learning Engineer/MLOps,Международная медиагруппа Россия сегодня (МИА Россия сегодня),,,,,От 3 до 6 лет,True,,
Python- разработчик (ML Engineer),Kaiten,,,,"Python, SQL, Pytest",От 3 до 6 лет,False,,
LLM / ML / AI Engineer,Консоль.Про,,400000,RUR,,От 1 года до 3 лет,False,,
Data Scientist,Детский мир,,300000,RUR,"Python, Apache Airflow",От 3 до 6 лет,True,,
ML инженер/Machine Learning engineer (Python),Spice IT,,,,"Python, PyTorch, NLP, Scikit-learn, ML, СУБД",От 3 до 6 лет,True,,
ML engineer,Innovative People,,,,"ML, Machine Learning, RecSys, Python",От 3 до 6 лет,False,,
ML/AI Разработчик,Kodix,,200000,RUR,Python,От 1 года до 3 лет,False,,
Системный инженер kubernetes,Рунити,,,,"Linux, Kubernetes",От 3 до 6 лет,False,,
Старший backend-разработчик (Python) в AHUB:AI,AlumniHub,5000,,USD,"Python, Английский язык, LLM, PostgreSQL, Разработка",Более 6 лет,False,,
Data Scientist (Блок Финансы),СБЕР,,,,,От 1 года до 3 лет,False,,
Системный аналитик (генеративные технологии),Интернет-энциклопедия РУВИКИ,,,,,От 1 года до 3 лет,False,,
ML Engineer (Code Assistant ML RnD),Яндекс,,,,"Python, ML, NLP, LLM, RAG, DSSM, AI, RnD",От 1 года до 3 лет,False,,
Senior Product Analyst (AB testing),Flocktory,,,,,От 3 до 6 лет,False,,
"Middle +/ Senior Data Scientist (AdTech, предсказательные модели) (офис)",Hyper AdTech,200000,300000,RUR,"Python, pandas, Numpy, R, Scikit-learn, Matplotlib, SciPy, Keras, PyTorch, TensorFlow",От 3 до 6 лет,False,,
QA Automation Engineer,Риверстарт,160000,200000,RUR,"Python, Java, API, SQL, Apache Kafka, RabbitMQ, Написание автотестов",От 3 до 6 лет,False,,
ИТ-Лидер команды (Внедрение ML решений),Т1,,,,"Управление командой, Постановка задач разработчикам, Machine Learning, Python, SQL, Hadoop, Spark, Apache Airflow",От 3 до 6 лет,True,,
Middle/Senior ML-инженер,Альфа-Банк,,,,"Машинное обучение, Python, Scikit-learn, Numpy, Алгоритмы ML, Компьютерное зрение, Генерация изображений, Full-Stack разработка, MS SQL, Git",От 3 до 6 лет,False,,
"Middle ML Engineer (Computer Vision & NLP, Python / Golang, on-premise)",Anykey,350000,,RUR,"Python, PyTorch, C++, Golang, Docker",От 1 года до 3 лет,False,,
Инженер по интеграции ИИ-решений,Корпорация Галактика,,,,,От 3 до 6 лет,False,,
ML-инженер,Октопустех,,,,"text2text, LLM, token-classification, NER, fine-tuning, RAG, Hugging Face, Python, Linux, Jupyter Notebook, Git, CI/CD, Jira, open-source модели, обучение моделей",От 3 до 6 лет,False,,
Data Engineer (RnD),СБЕР,,,,,От 1 года до 3 лет,False,,
Старший разработчик Python,OpenWeather Ltd.,300000,400000,RUR,,От 3 до 6 лет,False,,
Инженер по эксплуатации ML-платформы,Яндекс,,,,"Linux, Docker, Python",От 3 до 6 лет,False,,
Data Scientist,Цифровые технологии и платформы,,,,"Python, pandas, SQL",От 1 года до 3 лет,False,,
Инженер данных (Senior),ГКУ Инфогород,,,,"SQL, Анализ данных, Аналитическое мышление, Работа с большим объемом информации, Основы баз данных, Извлечение данных, Python, Предобработка данных",Более 6 лет,False,,
ИИ инженер в юридическую фирму,Мэджик Стафф,300000,,RUR,,От 1 года до 3 лет,False,,
Tech lead (команда Gigachat Data),СБЕР,,,,,Более 6 лет,False,,
Руководитель Сервисных-проектов (ML и интеграция),NVI Solutions LLC,230000,250000,RUR,"Управление проектами, Управление рисками, Аналитическое мышление, Грамотная речь, Проведение презентаций, Управление командой, Управление ресурсами, MS Project, Kanban, ML, ITSM, Бизнес-анализ",От 3 до 6 лет,False,,
Middle Machine Learning Engineer,Рыбаков Алексей Николаевич,170000,280000,RUR,Machine Learning,От 1 года до 3 лет,False,,
ML Engineer,Эвотор,,,,"NLP, Python, ML, PyTorch, LLM, FastAPI, RAG",От 3 до 6 лет,False,,
Middle DevOps Engineer,USETECH,,,,"Docker, Kubernetes, Ansible, GitLab CI",От 3 до 6 лет,False,,
AI Engineer,Диджитал Лайн,,,,,От 3 до 6 лет,False,,
ML Engineer (Team Search),"МАГНИТ, Розничная сеть",,,,,От 1 года до 3 лет,False,,
Middle product analyst (monetization),Циан,,,,"SQL, Python, Продуктовые метрики, Визуализация данных, A/B тесты",От 3 до 6 лет,True,,
"Data Scientist / ML Engineer (маркетплейсы, CTR-модели, Computer Vision)",Богданов Денис Александрович,250000,350000,RUR,,От 1 года до 3 лет,False,,
ML-инженер,МОБИЛЬНЫЕ ТЕХНОЛОГИИ,200000,,RUR,,От 1 года до 3 лет,False,,
ML - инженер (СКАН),Интерфакс,,,,"Python, NLP, ML, FastAPI, MLflow, Dagster, AirFlow, Git, Docker, SQL",От 3 до 6 лет,False,,
"Tech Lead / Python-разработчик (ML, Нейросети, Автономные агенты)",СБЕР,,,,,От 3 до 6 лет,False,,
Технический писатель (в IT),Риверстарт,130000,150000,RUR,"Работа с большим объемом информации, Написание текстов, Разработка технических заданий, Техническая документация, Проектная документация, ГОСТ, Деловая коммуникация, Грамотная устная и письменная речь, Написание инструкций",От 3 до 6 лет,False,,
Senior ML-engineer/MLOps,АО «ОТП Банк» (JSC «OTP Bank»),,,,,От 3 до 6 лет,False,,
ML Validation Engineer,АО «ОТП Банк» (JSC «OTP Bank»),,,,,От 3 до 6 лет,False,,
ML-разработчик (Getblogger),МТС,,,,"Python, spaCy, XGBoost, PyTorch, pandas, Jupyter Notebook",От 1 года до 3 лет,False,,
"Инженер машинного обучения C++ (офис, Москва)",Heaad,300000,350000,RUR,,От 3 до 6 лет,False,,
Data Product Manager,Про.Потолок,3500,5000,RUR,"Управление продуктом, Data Analysis, Business intelligence, Architecture, API, SQL, Управление требованиями, Roadmap, MVP, Анализ данных, Tableau, Power BI, Agile, Scrum",Более 6 лет,False,,
"ML/AI инженер (Senior), страхование",SkillStaff,,,,"MLflow, Python, pandas",От 3 до 6 лет,False,,
Технический директор (CTO),Yudaev.School,,,,"Управление командой, Постановка задач разработчикам, Бизнес-анализ, DevOps, Scrum, Лидерство, Оптимизация бизнес-процессов, Стратегическое мышление",От 3 до 6 лет,False,,
ML-инженер,Медиа Бизнес Солюшенс,,,,,От 3 до 6 лет,True,,
ML-инженер,Федюнин Иван Викторович,250000,400000,RUR,"Machine Learning, ML, AI, TTS, Text to speech, Deep Learning, Анализ данных, Языковые модели, Python",От 1 года до 3 лет,False,,
Эксперт/Senior эксперт Продвинутая аналитика и моделирование (Data Scientist/ML-инженер),Банк ДОМ.РФ,,,,"XGBoost, Математическая статистика, Scikit-learn, PyTorch, Matplotlib, pandas, Numpy, Python, SQL, LightGBM",От 1 года до 3 лет,False,,
Эксперт/Senior эксперт Продвинутая аналитика и моделирование (Data Scientist/ML-инженер),Банк ДОМ.РФ,,,,"XGBoost, Математическая статистика, Scikit-learn, PyTorch, Matplotlib, pandas, Numpy, Python, SQL, LightGBM",От 1 года до 3 лет,False,,
Эксперт/Senior эксперт Продвинутая аналитика и моделирование (Data Scientist/ML-инженер),Банк ДОМ.РФ,,,,"XGBoost, Математическая статистика, Scikit-learn, PyTorch, Matplotlib, pandas, Numpy, Python, SQL, LightGBM",От 1 года до 3 лет,False,,
Эксперт/Senior эксперт Продвинутая аналитика и моделирование (Data Scientist/ML-инженер),Банк ДОМ.РФ,,,,"XGBoost, Математическая статистика, Scikit-learn, PyTorch, Matplotlib, pandas, Numpy, Python, SQL, LightGBM",От 1 года до 3 лет,False,,
ML Data Engineer (GigaChat Alignment),СБЕР,,,,,От 1 года до 3 лет,False,,
MLOps инженер/консультант,БЕРГЕР,200000,300000,RUR,,От 1 года до 3 лет,False,,
Тимлид продуктовой аналитики,РОССКО,,,,"SQL, Python, Продуктовые метрики, Power BI, Unit-экономика, Маркетинговые метрики, DWH, Clickhouse",От 3 до 6 лет,False,,
Руководитель группы фронтенд-разработки,Цифров,,,,"JavaScript, TypeScript, React, REST API",Более 6 лет,False,,
DevOps-инженер,Цифровые технологии и платформы,,,,,От 3 до 6 лет,False,,
Промт-инженер / Promt Engineer,Алкогольный холдинг Руст,,,,,От 1 года до 3 лет,False,,
Middle/Senior Data Scientist / ML Engineer в команду Прогноза промо-продаж,X5 Tech,,,,"Python, Big Data, Spark",От 3 до 6 лет,False,,
Data Scientist в команду Пополнения,X5 Tech,,,,"Python, Алгоритмы и структуры данных, SQL, Big Data",От 3 до 6 лет,False,,
Senior Data Scientist/ML Engineer в команду Чековой аналитики,X5 Tech,,,,"Python, Big Data, Hadoop, Spark",От 3 до 6 лет,False,,
Руководитель группы бэкенд-разработки,Цифров,,,,"Kotlin, Java, Spring Boot, Kafka, RabbitMQ, REST API, PostgreSQL, Bitbucket, Git, Kibana, Grafana",Более 6 лет,False,,
ML-инженер (middle/middle+),OneTwoTrip,,,,"Python, SQL, Docker",От 1 года до 3 лет,False,,
ML-инженер,Азиатско-Тихоокеанский Банк,,,,"MLflow, Apache Airflow, Базы данных, Аналитическое мышление, Linux, Docker, Python",От 1 года до 3 лет,False,,
ML Engineer (Speech),VS Robotics (ООО АБТ),,,,,От 3 до 6 лет,False,,
C++ developer [Middle],Диплей,,,,,От 3 до 6 лет,False,,
DevOps инженер,Bell Integrator Регионы,,,,"Linux, Ansible, Docker, Kubernetes, OpenShift, Kafka, Jenkins, Prometeus, Yandex Cloud",От 1 года до 3 лет,False,,
Руководитель группы по разработке интеллектуальных систем,Кибертех-Сигнал,,,,"C++, FastAPI, Flask",От 3 до 6 лет,False,,
ML-инженер (Python),Rocket Science,,,,,От 1 года до 3 лет,False,,
Руководитель проектов по внедрению искусственного интеллекта,ГКУ Инфогород,,,,"Искусственный интеллект, LLM, ML-проекты",От 3 до 6 лет,False,,
Middle/Senior Data Scientist,IMOT.IO,,350000,RUR,"Python, pandas, PyTorch, Natural Language Processing, SQL",От 3 до 6 лет,False,,
Lead Data Scientist/Руководитель направления (NLP),Ингосстрах,,,,"Data Science, Machine Learning, NLP",От 3 до 6 лет,True,,
Senior Data Scientist,Диджитал Лайн,200000,,RUR,,От 3 до 6 лет,False,,
Data Engineer в ML команду,X5 Digital,,,,"Python, SQL, Spark",От 3 до 6 лет,False,,
Robotics Software Engineer,Техвилл (ООО Автомакон),,500000,RUR,,Более 6 лет,False,,
Python-разработчик,RoRe Group,,,,,От 3 до 6 лет,False,,
Разработчик AI-агентов (Исследования и AI),СБЕР,,,,,От 3 до 6 лет,False,,
Machine Learning Engineer в группу контекстных рекомендаций в VK Видео,VK,,,,"Машинное обучение, Machine Learning",От 3 до 6 лет,False,,
Data Engineer (Ведущий инженер систем больших данных),X5 Tech,,,,,Нет опыта,False,,
Администратор IT-систем / SRE (GigaChat),СБЕР,,,,,От 3 до 6 лет,False,,
Выездной инженер технической поддержки/системный администратор,АДС-Cофт,,,,,От 1 года до 3 лет,False,,
ML Lead,Brand Analytics,,,,,Более 6 лет,False,,
Инженер данных внешних источников,«ОХК «Уралхим»,,,,"PostgreSQL, MongoDB, Clickhouse, ETL, Apache Airflow, Python, pandas",От 1 года до 3 лет,False,,
Специалист по патентной охране интеллектуальной собственности,Империус Групп,,,,"Интеллектуальная собственность, Патентное право, Цифровое право, Работа с большим объемом информации, Работа с документами, оформление документации, Патентный поиск, DeepTech, Наука и техника, Подготовка презентаций, Аналитические исследования",От 3 до 6 лет,True,,
